RXN-13195	EC-2.1.1.256
RXN0-7092	EC-2.4.2
RXN-16677	
RXN-14322	EC-2.5.1
4.2.1.99-RXN	EC-4.2.1.99
RXN-19433	
RXN-17161	EC-4.2.3.178
GALLATE-DECARBOXYLASE-RXN	EC-4.1.1.59
RXN-7954	EC-2.8.2.33
RXN-19956	EC-1.13.11.M11
RXN-11895	
LACTOYL-COA-DEHYDRATASE-RXN	EC-4.2.1.54
2.1.1.129-RXN	EC-2.1.1.129
RXN66-346	
RXN-8482	
RXN-14775	EC-1.3.3.6
RXN-12395	
ARG-OXIDATION-RXN	EC-1.4.3.25
THYMIDYLATESYN-RXN	EC-2.1.1.45
RXN-17617	EC-3.3.2.10
RXN-15204	EC-2.4.1.321
RXN-20440	EC-1.14.18.M9
RXN-18107	
PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN	EC-3.1.3.60
RXN-8936	EC-1.3.1
RXN-20927	EC-2.7.7.7
RXN-12907	
RXN-10083	EC-3.1.1.24
TRANS-RXN0-499	
RXN-9423	EC-6.2.1
RXN-15664	EC-1.1.1
RXN-13394	EC-1.2.1.67
2.7.8.11-RXN	EC-2.7.8.11
RXN-18529	EC-1.8.98.6
RXN-16152	EC-2.3.1.23
RXN-2424	EC-5.3.3
RXN-18978	EC-4.2.3.188
RXN-10919	EC-6.2.1.12
RXN-9979	
RXN-6271	
RXN-13866	EC-4.1.99.20
RXN-11375	EC-3.5.1.23
3.6.3.51-RXN	EC-7.4.2.3
3.4.19.11-RXN	EC-3.4.19.11
1.1.1.136-RXN	EC-1.1.1.136
RXN0-7041	
RXN-16657	
RXN-14300	EC-1.1.99.24
4.1.2.42-RXN	EC-4.1.2.42
RXN-19416	EC-3.1.1.6
RXN-17138	EC-1.11.1.14
GALACTOKIN-RXN	EC-2.7.1.6
RXN-7913	EC-2.7.4.25	EC-2.7.4.14	EC-2.7.4.13
RXN-19934	
RXN-11853	EC-2.4.1
2.1.1.105-RXN	EC-2.1.1.105
RXN66-317	
RXN-8459	EC-1.3.1
RXN-14755	EC-2.7.1
RXN-12358	EC-3.6.1
ANTHRANILATE-N-METHYLTRANSFERASE-RXN	EC-2.1.1.111
THIOPURINE-S-METHYLTRANSFERASE-RXN	EC-2.1.1.67
RXN-17600	EC-2.5.1.134
RXN-15184	EC-2.7.1.193
LACCASE-RXN	EC-1.10.3.2
RXN-20423	EC-5.3.3.M5
RXN-18089	
PHOSMANMUT-RXN	EC-5.4.2.8
RXN-8910	EC-1.8.3
RXN-20909	
RXN-12889	
TRANS-RXN0-475	
RXN-9408	EC-1.14.13.107
RXN-15646	EC-1.2.1
RXN-13375	EC-2.4.1
2.7.7.32-RXN	EC-2.7.7.32
RXN-18511	EC-2.7.7.2
RXN-16136	EC-1.1.1
RXN-22	EC-4.3.2.1
RXN-18962	
RXN-10902	
RXN-9946	EC-3.2.1.147
RXN-6161	EC-4.1.1.1
RXN-13845	EC-2.4.1
RXN-11357	
3.4.15.6-RXN	EC-3.4.15.6
+-BORNEOL-DEHYDROGENASE-RXN	EC-1.1.1.198
RXN0-6999	EC-6.3.2
RXN-16639	EC-6.3.2
RXN-14276	EC-4.2.1.119
4.1.1.77-RXN	EC-4.1.1.77
RXN-19400	EC-2.7.8
RXN-17114	EC-4.2.1.17
FUC4NACTRANS-RXN	EC-2.4.1.325
RXN-7875	
RXN-19915	EC-2.7.1.4
RXN-11832	EC-2.7.4.14	EC-2.7.4.25
2-METHYLCITRATE-SYNTHASE-RXN	EC-2.3.3.5
RXN66-25	EC-5.3.3.5
RXN-8440	
RXN-14735	EC-2.3.1
RXN-12338	EC-4.2.1.128
AMINOPARATHION-PHOSPHATASE-RXN	EC-3.1.8.1
THI-P-SYN-RXN	EC-2.5.1.3
RXN-17583	EC-4.4.1.23
RXN-15165	EC-2.7.1.191
L-IDITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.14
RXN-18029	EC-7.5.2.4
RXN-20405	EC-2.3.1.24
RXN-18071	EC-3.6.1.M1
PHENPRODIOLDEHYDROG-RXN	EC-1.3.1.87
RXN-8884	EC-2.4.1
RXN-20890	EC-6.2.1
RXN-12869	
TRANS-RXN0-454	EC-7.6.2.13
RXN-9389	EC-1.1.1.296
RXN-15625	
RXN-13340	
2.7.11.27-RXN	EC-2.7.11.27
RXN-18494	EC-6.3.2.z
RXN-16119	EC-2.3.1
RXN-10043	EC-3.5.1.97
RXN-21365	EC-3.5.1.M21
RXN-18944	EC-4.2.3.187
RXN-10886	EC-6.3
RXN-9914	EC-1.14.13.1
RXN-5822	EC-3.1.3.108
RXN-13820	EC-2.4.1
3.4.13.21-RXN	EC-3.4.13.21
RXN0-6974	EC-3.4.13.18
RXN-16596	EC-2.1.1
RXN-14258	
4-METHYLENEGLUTAMINASE-RXN	EC-3.5.1.67
RXN-19384	EC-2.3.1
RXN-17098	EC-4.1.2.58
RXN-11343	
FORMIMINOASPARTATE-DEIMINASE-RXN	EC-3.5.3.5
RXN-7836	EC-5.3.3.8
RXN-19897	EC-2.8.3.17
RXN-11806	
2-DEOXYGLUCOSIDASE-RXN	EC-3.2.1.112
RXN66-170	EC-1.14.14
RXN-8424	EC-4.2.3.78
RXN-14716	EC-5.3.3.8
RXN-12317	EC-2.1.1.233
AMBENCOATHAUERA-RXN	
TCEREDCHLOR-RXN	EC-1.21.99.M1	EC-1.21.99.5
RXN-17567	EC-1.14.13.226
RXN-15143	EC-2.7.1.199
KYNURENINE-78-HYDROXYLASE-RXN	EC-1.14.99.2
RXN-20389	EC-1.14.14.fr
RXN-18053	EC-2.4.1
PEPTIDYLGLYCINE-MONOOXYGENASE-RXN	EC-1.14.17.3
RXN-8855	EC-1.14.13.146
RXN-20872	EC-5.3.3
RXN-12850	
TRANS-RXN0-282	
RXN-9367	
RXN-15605	EC-2.4.1.329
RXN-13318	EC-2.4.1
2.7.1.151-RXN	EC-2.7.1.151
RXN-18478	EC-2.7.1.101
RXN-16100	EC-2.3.1
RXN-10014	
RXN-21348	EC-1.13.11.66
RXN-18928	EC-3.2.1.113
RXN-10870	EC-2.1.1.6
RXN-9897	
RXN-5501	EC-2.1.1
RXN-13803	EC-2.3.1.198
3.4.11.18-RXN	EC-3.4.11.18
RXN0-6725	EC-3.1.1.4
TRANS-RXN-332	EC-7.5.2.7
RXN-16574	
RXN-14242	EC-5.5.1.30
4-ACETAMIDOBUTYRYL-COA-DEACETYLASE-RXN	EC-3.5.1.51
RXN-19361	EC-2.4.1.17
RXN-17080	EC-5.1.3
RXN-11323	EC-2.4.99.14
FLAVONE-7-O-BETA-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.81
RXN-7811	EC-2.5.1.136
RXN-19870	EC-1.1.1.M50
RXN-11789	EC-2.4.1.251
13-PROPANEDIOL-DEHYDROGENASE-RXN	EC-1.1.1.202
RXN66-144	EC-1.1
RXN-8407	
RXN-14699	EC-2.4.2.57
ALLIIN-LYASE-RXN	EC-4.4.1.4
SYDDEHYD-RXN	EC-1.2.1.62
RXN-17547	EC-1.14.15.23
RXN-15125	
KDPGALDOL-RXN	EC-4.1.2.55	EC-4.1.2.14
RXN-20373	EC-1.1.1.418
RXN-18036	EC-2.4.2
RXN-12299	EC-1.1.1.2
PANTOTHENATE-KIN-RXN	EC-2.7.1.33
RXN-8836	EC-1.13.11.76
RXN-20850	EC-2.5.1
RXN-12834	EC-4.2.3.99
TRANS-RXN0-265	
RXN-9350	
RXN-15587	EC-2.8.2.1
2.6.1.70-RXN	EC-2.6.1.70
RXN-18452	EC-1.14.99.M4
RXN-16085	EC-1.1.99
RNTRACTIV-RXN	EC-1.97.1
RXN-21331	
RXN-18911	EC-3.2.1.113
RXN-10842	EC-1.14.19.9
RXN-9880	EC-1.3.1.119
RXN-5442	EC-1.2.1
RXN-13784	EC-3.2.1
3.2.1.99-RXN	EC-3.2.1.99
RXN0-6554	EC-1.3.5.2
RXN-16553	EC-1.2.1.84
RXN-14219	
3.6.4.4-RXN	EC-5.6.1.3
RXN-19336	EC-2.5.1.M19
RXN-17063	EC-4.1.1.M3
RXN-11297	EC-2.3.2.18
FARNESOL-DEHYDROGENASE-RXN	EC-1.1.1.216
RXN-7790	EC-1.2.1.25
RXN-19830	
RXN-11771	EC-2.1.1.325
1.8.4.4-RXN	EC-1.8.4.4
RXN4FS-4	EC-2.7.8
RXN-8379	EC-1.14.20.5
RXN-14683	EC-1.1.1
ALIZARIN-2-BETA-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.103
SUCCORNTRANSAM-RXN	EC-2.6.1.81
RXN-17529	EC-1.1.1.397
RXN-15108	EC-1.14.15.33
ISONOCARDICIN-SYNTHASE-RXN	EC-2.5.1.38
RXN-20356	EC-2.3.1.298
RXN-18016	EC-2.7.8.47
RXN-12270	EC-3.2.1.179
OXALOACETATE-TAUTOMERASE-RXN	EC-5.3.2.2
TRANS-RXN-324	EC-7.6.2.9
RXN-8820	EC-1.14.12.24
RXN-20781	EC-2.1.1.M64
RXN-12809	EC-2.5.1.98
TRANS-RXN0-211	
RXN-9320	
RXN-15563	
2.6.1.35-RXN	EC-2.6.1.35
RXN-18435	EC-3.2.2.23
RXN-16069	EC-1.14.19.46
RIBOFLAVINKIN-RXN	EC-2.7.1.26
RXN-21315	EC-5.3.1.23
RXN-18893	EC-5.5.1.28
RXN-13286	EC-4.1.99
RXN-10826	EC-4.2.1
RXN-9863	EC-1.14.11
RXN-527	EC-1.14.20.6
RXN-13763	EC-4.2.3.137
3.2.1.78-RXN	EC-3.2.1.78
RXN0-6450	
RXN-16536	EC-1.14.19
3.6.3.34-RXN	EC-7.2.2.k
RXN-19315	EC-3.1.3.73
RXN-17044	
RXN-11274	
ESTRADIOL-17-ALPHA-DEHYDROGENASE-RXN	EC-1.1.1.148
RXN-7771	
RXN-19814	EC-3.1.4.59
RXN-14204	EC-1.1.99.3
RXN-11752	
1.6.4.9-RXN	EC-1.8.1.13
RXN3O-9962	
RXN-8355	EC-2.4.1
RXN-14663	EC-1.14.13
ALCOHOL-DEHYDROGENASE-NADP+-RXN	EC-1.1.1.71
STREPTOMYCIN-6-PHOSPHATASE-RXN	EC-3.1.3.39
RXN-17513	EC-1.14.13.225
RXN-15088	EC-3.1.1.23
IODOPHENOL-O-METHYLTRANSFERASE-RXN	EC-2.1.1.26
RXN-20340	EC-2.3.1.199
RXN-17988	EC-1.3.98.4
RXN-12254	EC-1
ORNITHINE-CYCLODEAMINASE-RXN	EC-4.3.1.12
RXN-8799	
RXN-20759	
RXN-12788	EC-1.14.13
TRANS-RXN-94A	
RXN-9303	
RXN-15544	
2.5.1.63-RXN	EC-2.5.1.63
RXN-18417	EC-1.17.98.2
RXN-16051	EC-1.14.19.23
RETICULINE-OXIDASE-RXN	EC-1.21.3.3
RXN-21299	EC-3.4.24
RXN-18875	
RXN-13256	
RXN-10796	EC-2.3.1
RXN-9845	EC-5.1.99.4
RXN-5141	EC-2.1.1.128
RXN-13736	EC-2.3.1.198
3.2.1.59-RXN	EC-3.2.1.59
RXN0-6254	EC-2.7.7.76
RXN-16518	EC-1.3.7.11
3.6.3.1-RXN	EC-7.6.2.1
RXN-19298	EC-2.4.2.21
RXN-16594	
RXN-17025	
RXN-11258	EC-2.3.1.M34
ECDYSONE-O-ACYLTRANSFERASE-RXN	EC-2.3.1.139
RXN-7745	EC-1.1.1
RXN-19794	EC-4.2.2.27
RXN-14185	
RXN-11734	EC-1.3.8.7
1.5.1.24-RXN	EC-1.5.1.24
RXN3O-4113	EC-1.1.1.1
RXN-8331	EC-1.14.19.25
RXN-14646	
AICARSYN-RXN	EC-4.3.2.2
STEROID-17-ALPHA-MONOOXYGENASE-RXN	EC-1.14.14.19
RXN-17495	EC-3.1.3.62
IMIDHYD-RXN	EC-1.17.3
RXN-20310	EC-2.4.1
RXN-17966	EC-1.1.3.49
RXN-12237	EC-4.1.99.16
OCTANOL-DEHYDROGENASE-RXN	EC-1.1.1.73
RXN-8783	EC-3.1.1.17
RXN-20742	EC-1.13.11.89
RXN-15075	EC-5.4.99
RXN-12767	EC-2.1.1.234
TRANS-RXN-58	
RXN-9282	EC-2.1.1.114
RXN-15527	EC-1.14.12.M4
2.4.99.5-RXN	EC-2.4.99.5
RXN-18398	EC-3.5.4.46
R603-RXN	
RXN-21282	EC-1.13.11.M16
RXN-18852	EC-4.2.3
RXN-13235	EC-2.1.1
RXN-10775	EC-4.2.3.45
RXN-9828	
RXN-5076	
RXN-13718	
3.2.1.35-RXN	EC-3.2.1.35
RXN0-5393	EC-4.2.1.17
RXN-16500	EC-6.3.2
3.5.3.22-RXN	EC-3.5.3.22
RXN-19282	EC-5.5.1.33
RXN-16995	
RXN-1124	
DOLICHYLDIPHOSPHATASE-RXN	EC-3.6.1.43
RXN-7704	EC-4.1.1.1
RXN-19778	EC-1.11.1
RXN-14167	EC-1
RXN-11717	EC-4.2.1
1.3.99.16-RXN	EC-1.3.99.16
RXN3O-1070	EC-1.1.1.101
RXN-8315	
RXN-14628	EC-3.2.1.194
ADENYLATECYC-RXN	EC-4.6.1.1
SORB6PDEHYDROG-RXN	EC-1.1.1.140
RXN-17473	
HYDROXYPHYTANATE-OXIDASE-RXN	EC-1.1.3.27
RXN-20263	
RXN-17948	EC-3.1.3.31
RXN-12220	EC-3.2.1
NUCLEOSIDE-OXIDASE-RXN	EC-1.1.3.28
RXN-8766	EC-2.1.1.196
RXN-20726	
RXN-15057	EC-1.14.13
RXN-12750	EC-1.1.1.35
TRANS-RXN-383	
RXN-9238	EC-4.1.1.98
RXN-15498	
RXN-18379	EC-2.6.1.111
R524-RXN	
RXN-21256	EC-2.4.1.M64
RXN-18837	
RXN-13219	EC-5.1.3
RXN-10753	
RXN-9804	EC-1.11.2.3
RXN-4883	EC-4.2.3.35
RXN-16016	EC-2.3.1
RXN-13697	EC-2.6.1.1
3.2.1.159-RXN	EC-3.2.1.159
RXN0-5304	EC-5.4.99.62
RXN-16483	EC-3.1.6.13
3.5.1.83-RXN	EC-3.5.1.83
RXN-19265	EC-1.14.20.12
RXN-11219	EC-1.13.11.2
DIOHBUTANONEPSYN-RXN	EC-4.1.99.12
RXN-7680	EC-1.14.11
RXN-19758	EC-3.2.1.55
RXN-14149	EC-3.7.1.22
RXN-11695	EC-4.6.1.15
1.3.1.49-RXN	EC-1.3.1.49
RXN1UA-63	EC-3.1.3
RXN-8298	EC-1.14.19.23
RXN-16977	EC-1.14.11
RXN-14610	
ACYLPHOSPHATASE-RXN	EC-3.6.1.7
SEQUOYITOL-DEHYDROGENASE-RXN	EC-1.1.1.143
RXN-17454	
HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN	EC-1.2.1.96
RXN-20240	
RXN-17919	
RXN-12198	EC-3.6.1.6
NICOTINE-DEHYDROGENASE-RXN	EC-1.5.99.4
2.4.1.53-RXN	EC-2.4.1.70
RXN-8747	EC-3.1.3
RXN-20710	EC-6.3.2.34
RXN-15039	EC-1.14.14.31
RXN-12733	EC-1.2
TRANS-RXN-365	
RXN-9222	EC-2.5.1.39
RXN-15473	EC-1.14.14
RXN-18360	EC-5.5.1.11
R421-RXN	EC-1.14.15
RXN-21236	EC-1.14.11
RXN-18821	EC-2.4.1
RXN-13198	EC-1.1.1.1
RXN-10732	EC-2.4.1
RXN-9770	EC-1.14.13.111
RXN-4801	
RXN-15986	EC-5.2.1
RXN-13679	EC-3.5.1
3.2.1.139-RXN	EC-3.2.1.139
RXN0-5256	EC-1.12.5.1
RXN-16460	EC-1.14.14
RXN-19249	EC-3.4.16.4
RXN-11190	EC-2.5.1.79
DIHYDROXYFUMARATE-DECARBOXYLASE-RXN	EC-4.1.1.54
RXN-7657	EC-1.1.1.1
RXN-19737	EC-2.4.1.56
RXN-14125	EC-4.2.3
RXN-11669	EC-4.1.1.56
3.5.1.55-RXN	EC-3.5.1.55
1.2.3.14-RXN	EC-1.2.3.14
RXN1G01-39	EC-1.3.8.7
RXN-8281	EC-2.4.1
RXN-16961	EC-6.3.2
RXN-14586	
ACNEULY-RXN	EC-4.1.3.3
SAICARSYN-RXN	EC-6.3.2.6
RXN-17438	EC-2.5.1.bl
HOMOGENTISATE-12-DIOXYGENASE-RXN	EC-1.13.11.5
RXN-20222	EC-2.3.1.26
RXN-12176	EC-3.2.1.174
NADPYROPHOSPHAT-RXN	EC-3.6.1.22
2.4.1.243-RXN	EC-2.4.1.243
RXN-8724	EC-2.3.1
RXN-20694	
RXN-15021	EC-2.3.1
RXN-12713	EC-1.14.99.12	EC-1.14.13.54
TRANS-RXN-35	
RXN-9202	
RXN-17895	
RXN-15453	
RXN-18338	EC-1.14.99.58
R313-RXN	EC-4.2.1.84
RXN-21218	EC-3.4.22.40
RXN-18800	EC-1.14.99.22
RXN-13179	EC-1.1.1.262
RXN-10707	EC-1.3.3.6
RXN-9750	EC-1.7.99
RXN-4728	EC-2.4.1
RXN-15967	EC-1.14.14
RXN-13660	EC-1.1.1
3.2.1.111-RXN	EC-3.2.1.111
RXN0-5210	EC-2.4.1
RXN-16441	EC-1.14.13
RXN-19220	
RXN-11171	EC-2.3.1.208
DIGLUCOACETYL-DOCOSANOATE-HYDROLYSIS-RXN	EC-3.1.1.6
RXN-7632	EC-1.1.1.237
RXN-19713	
RXN-14108	EC-2.4.1
RXN-11651	EC-2.1.1
3.4.24.66-RXN	EC-3.4.24.66
1.2.1.32-RXN	EC-1.2.1.32
RXN1G-137	EC-7.5.2
RXN-8259	
RXN-16940	EC-2.4.1
RXN-14563	EC-2.4.1.309
ACETYLCHOLINESTERASE-RXN	EC-3.1.1.7
RXNQT-4364	
RXN-17422	EC-4.2.1
HISTAMINE-N-METHYLTRANSFERASE-RXN	EC-2.1.1.8
RXN-20202	EC-1.14.99.ag
RXN-12156	EC-1.1.1
N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN	EC-3.10.1.1
2.4.1.221-RXN	EC-2.4.1.221
RXN-8708	EC-3.4.21.111
RXN-20676	EC-1.1.1.35	EC-1.1.1.211
RXN-15004	EC-3.5.1.al
RXN-12694	EC-5.3.3.1
CHOLINE-OXIDASEII-RXN	
TRANS-RXN-33	
RXN-9186	
RXN-17873	EC-3.4.11.18
RXN-15432	
XYLISOM-RXN	EC-5.3.1.5
RXN-18315	EC-2.4.1.M19
R262-RXN	EC-1.1.1
RXN-21199	
RXN-13162	EC-2.5.1.21
RXN-10690	EC-2.4.1
RXN-9733	EC-3.1.1.92
RXN-4621	EC-1.5.99
RXN-15949	
RXN-13638	EC-1.14.11
3.1.6.18-RXN	EC-3.1.6.18
RXN0-5183	EC-3.2.1.20
RXN-18777	EC-2.4.1.18
RXN-16418	EC-6.2.1.3
RXN-19203	EC-1.3.99
RXN-11155	
DHSHIKIMATE-DEHYDRO-RXN	EC-4.2.1.118
RXN-7605	EC-2.1.1
RXN-14087	EC-4.2.1.M14
RXN-11625	EC-2.7.1.216
3.4.24.51-RXN	EC-3.4.24.51
1.14.99.33-RXN	EC-1.14.19.39
RXN1F-461	EC-2.4.1.91
RXN-8235	EC-2.3.1
RXN-16912	EC-2.1.3
RXN-14544	EC-2.4.1.302
ACETOACETATE-DECARBOXYLASE-RXN	EC-4.1.1.4
RXNQT-4347	EC-2.6.1
RXN-19700	EC-2.4.1.367	EC-2.4.1.366
RXN-17402	EC-1.3.1.114
HADTHAUERA-RXN	EC-1.1.1.368
RXN-20177	EC-1.14.11.63
RXN-12137	EC-1.14.14.M33
N-ACETYLLACTOSAMINE-SYNTHASE-RXN	EC-2.4.1.90
2.4.1.201-RXN	EC-2.4.1.201
RXN-8692	
RXN-20660	EC-3.2.2.M2
RXN-14987	EC-4.3.1.23	EC-4.3.1.25
RXN-12675	EC-5.5.1.20
CHLOROBENDDH-RXN	EC-1.3.1.119
TRANS-RXN-30	
RXN-9170	
RXN-17849	EC-3.5.1.121
RXN-15412	
VALINE-DEHYDROGENASE-NADP+-RXN	EC-1.4.1.8
RXN-18299	EC-2.4.99.4
R225-RXN	
RXN-21178	EC-1.14.19
RXN-13144	EC-2.2.1.11
RXN-10668	EC-2.1.1
RXN-9710	
RXN-4504	EC-1.1.1.348
RXN-15932	EC-3.4.13
RXN-13616	EC-4.2.1.17
3.1.4.37-RXN	EC-3.1.4.37
RXN0-5120	EC-2.4.1
RXN-18759	EC-3.4.19.16
RXN-16403	EC-1.2.1.84
RXN-19185	EC-6.2.1.2
RXN-11128	EC-1.14.13.195
DEOXYLIMONATE-A-RING-LACTONASE-RXN	EC-3.1.1.46
RXN-7586	
RXN-14069	EC-1.14.14.162
RXN-11587	EC-2.1.1.325
3.4.24.35-RXN	EC-3.4.24.35
1.14.13.94-RXN	EC-1.14.14.138
RXN1F-155	EC-5.3.99.9
RXN-8214	EC-1.14.15.24
RXN-16886	EC-1.1.1
RXN-14521	EC-3.1.3.34
ABC-56-RXN	EC-7.6.2.14
RXNQT-4329	EC-2.8.2.38
RXN-19684	EC-1.14.14.78
RXN-17384	EC-2.1.1.324
GUANIDINOPROPIONASE-RXN	EC-3.5.3.17
RXN-20154	
RXN-12112	EC-1.7.1.14
MYCOCEROSATE-SYNTHASE-RXN	EC-2.3.1.111
2.4.1.174-RXN	EC-2.4.1.174
RXN-8671	
RXN-14963	EC-1.3.5.4
RXN-12654	EC-1.14.13.170
CERAMIDASE-RXN	EC-3.5.1.23
TRANS-RXN-283	
RXN-9154	EC-2.4.1
RXN-17825	EC-3.1.1.101
RXN-15392	
URETHANASE-RXN	EC-3.5.1.75
RXN-20647	
RXN-18280	EC-2.4.99.8
R204-RXN	EC-4.99.1
RXN-21162	
RXN-13121	EC-2.4.1.284
RXN-10642	EC-4.1.1.37
RXN-9679	
RXN-4316	
RXN-15910	EC-3.2.1.20
RXN-13597	EC-2.4.1.287
3.1.3.69-RXN	EC-3.1.3.69
RXN0-5052	EC-3.4.11
RXN-18740	EC-2.3.2.32
RXN-16377	EC-4.2.1
RXN-19167	EC-2.5.1.150
RXN-11104	EC-1.14.19.58
DECYLHOMOCITRATE-SYNTHASE-RXN	EC-2.3.3.4
RXN-7561	EC-2.3.1.109
RXN-14047	EC-4.2.1.3
RXN-11562	EC-2.8.2
3.4.24.20-RXN	EC-3.4.24.20
1.14.13.69-RXN	EC-1.14.13.69
RXN1A0-6305	EC-4.2.1
RXN-8190	EC-1.14.99.64
RXN-16863	
RXN-14503	
ABC-23-RXN	EC-7.3.2.2
RXNQT-4313	EC-1.14.14.42
RXN-19668	EC-2.5.1.74
RXN-17366	EC-2.1.1
GPH-RXN	EC-3.1.3.18
RXN-20135	
RXN-12091	EC-1.5.3.13	EC-1.5.3.17
MHPELY-RXN	EC-4.1.3.39
2.4.1.147-RXN	EC-2.4.1.147
RXN-8642	
RXN-14938	EC-3.1.3.94
RXN-12625	EC-3.2.1.52
CATECHOL-OXIDASE-DIMERIZING-RXN	EC-1.1.3.14
TRANS-RXN-265	
RXN-9135	
RXN-17795	EC-2.3.1.16
RXN-15376	EC-2.6.1.92
UDPSUGARHYDRO-RXN	EC-3.6.1.45
RXN-20631	
RXN-18262	EC-2.8.2
R145-RXN	EC-4.2.1.109
RXN-21139	EC-2.3.2.w
RXN-13103	EC-1.1.1
RXN-10625	EC-1.3.1.83
RXN-9638	
RXN-15878	EC-1.17.7.3
RXN-13565	
3.1.27.3-RXN	EC-4.6.1.20	EC-4.6.1.24
RXN0-4342	EC-2.7.7.70
RXN-18721	
RXN-16342	EC-2.1.1
RXN-4303	EC-2.5.1.112
RXN-19150	EC-5.5.1.19
RXN-11085	EC-1.11.2
DALADEHYDROG-RXN	EC-1.4.5
RXN-743	EC-2.4.1.85
RXN-14022	
RXN-11545	
3.4.23.40-RXN	EC-3.4.23.40
1.14.13.36-RXN	EC-1.14.14.96
RXN18C3-56	EC-2.4.1
RXN-16845	EC-2.4.1
RXN-14480	
6PGLUCONOLACT-RXN	EC-3.1.1.31
RXNQT-4172	EC-2.3.3.17
RXN-19644	
RXN-17343	EC-1.13.11.39
GLYCPDIESTER-RXN	EC-3.1.4.46
RXN-8176	EC-2.4.1
RXN-20117	EC-1.3.1.72
RXN-12068	
METHYLCROTONYL-COA-CARBOXYLASE-RXN	EC-6.4.1.4
2.4.1.116-RXN	EC-2.4.1.116
RXN-8622	EC-4.2.3
RXN-14920	EC-1.1.98.4
RXN-12602	EC-1.14.13
CARNITINAMIDASE-RXN	EC-3.5.1.73
TRANS-RXN-24	
RXN-9087	EC-1.3.1.84
RXN-17779	EC-1.3.8.8
RXN-15360	EC-2.3.1
UDP-GLUCURONATE-4-EPIMERASE-RXN	EC-5.1.3.6
RXN-20614	
RXN-18245	EC-2.4.1.37
R10-RXN	EC-4.1.2.43
RXN-21097	EC-1.14.13.M79
RXN-13085	
RXN-1061	EC-1.14.13
RXN-9616	EC-1.14.19.6
RXN-15843	EC-2.1.1.310
RXN-13546	EC-4.1.99
3.1.21.7-RXN	EC-3.1.21.7
RXN0-3901	EC-6.3.1.11
RXN-18703	
RXN-16308	
RXN-4222	
RXN-19127	
RXN-11067	EC-1.4.3.4
D-LYXOSE-KETOL-ISOMERASE-RXN	EC-5.3.1.15
RXN-7253	EC-3.1.3.25
RXN-14004	EC-3.6.1.64
RXN-11529	EC-1.14.14
3.4.23.23-RXN	EC-3.4.23.23
1.14.11.9-RXN	EC-1.14.11.9
RXN18C3-39	EC-2.3.1
RXN-16824	EC-1.11.2.M1
RXN-14462	EC-2.3.3
6.3.1.10-RXN	EC-6.3.1.10
RXNMETA-12672	EC-1.2.1.91
RXN-19627	EC-3.4.19.13
RXN-17327	EC-2.3.1.283
GLYCINE-N-ACYLTRANSFERASE-RXN	EC-2.3.1.13
RXN-8150	
RXN-20096	
RXN-12050	
METHANOL-OXIDASE-RXN	EC-1.1.3.13
2.3.1.83-RXN	EC-2.3.1.83
RXN-8601	EC-4.2.3.129
RXN-14899	EC-3.1.1
RXN-12581	EC-1.1.1.105
CARBAMATE-KINASE-RXN	EC-2.7.2.2
TRANS-RXN-218	
RXN-17754	
RXN-15341	EC-1.14.14.5
TSMOS-RXN	EC-1.14.99
RXN-20598	EC-2.1.1.he
RXN-18228	EC-4.99.1.M4
PYRUVATE-OXIDASE-COA-ACETYLATING-RXN	EC-1.2.3.6
RXN-9074	EC-2.4.1
RXN-21074	EC-2.4.1.eg
RXN-13067	EC-1.5.3.19
RXN-10483	EC-4.2.3.53
RXN-9597	EC-1.4.3.21
RXN-15807	EC-1.1.1
RXN-13525	EC-1.14.99
3.1.13.3-RXN	EC-3.1.13.3
RXN0-3381	
RXN-18680	EC-2.4.1.M20
RXN-16286	EC-2.7.8.42
RXN-3963	EC-3.5.1.117
RXN-19111	
RXN-11051	EC-4.1.99.14
D-ARABINITOL-4-DEHYDROGENASE-RXN	EC-1.1.1.11
RXN-7204	
RXN-13981	EC-2.3.1
RXN-11506	
3.4.22.45-RXN	EC-3.4.22.45
1.13.11.49-RXN	EC-1.13.11.49
RXN18C3-241	EC-1.1.1
RXN-16806	EC-1.14.14
RXN-14444	EC-2.3.1
6-CARBOXYHEXANOATE--COA-LIGASE-RXN	EC-6.2.1.14
RXN0-6678	
RXN0-5248	
RXN-18603	
RXN-15862	
RXN-15815	
RXN-13576	
RXN0-6372	
RXN0-5244	
RXN-17758	
RXN-15859	
RXN-15596	
RXN-11945	
TRANS-RXN0-237	
RXN-21273	
RXN-17742	
RXN-15837	
RXN-15447	
RXN66-548	
RXN0-5262	
RXN-20149	
RXN-17651	
RXN-15833	
RXN-13584	
RXN-20000	
RXN1YI0-21	
RXN0-7311	
RXN0-5257	
RXN-20161	
RXN-19772	
RXN-20058	
RXN-16329	
RXN-20017	
RXN-15827	
DSBD-RXN	
RXN-13581	
DSBDC-RXN	
RXN0-6684	
RXN-20160	
RXN0-5253	
RXN-18749	
RXN-15863	
